# %ECSV 0.9
# ---
# meta: !!omap
# - OBJECT: 3C66A
#
# - DESCRIBE:
#    From 33h of live time observations taken between 2007-2008. 
#    This is for non flare state observations
#
# - MJD:
#    START: 54734 # unit=day
#    END: 54749 # unit=day
#
# - ARTICLE:
#    label: Ap.J. 726, 43 (2011)
#    url: http://dx.doi.org/10.1088/0004-637X/726/1/43
#    arxiv: http://arxiv.org/abs/1011.1053
#    ads: http://adsabs.harvard.edu/abs/2011ApJ...726...43A
#
# - COMMENTS:
#    Name: 3C66A
#    Tag: Oct. 2007 low
#    Redshift: 0.335
#    LiveTime: 21.2 # unit=hour
#    Significance: 22.2
#
# - SED_TYPE: diff_flux_points
# 
# datatype:
# - name: e_ref
#   unit: TeV
#   datatype: float64
# - name: dnde
#   unit: ph / (m2 TeV s)
#   datatype: float64
# - name: dnde_errn
#   unit: ph / (m2 TeV s)
#   datatype: float64
# - name: dnde_errp
#   unit: ph / (m2 TeV s)
#   datatype: float64
#
e_ref dnde dnde_errn dnde_errp
0.2051 1.8522E-06 3.18E-07 4.09E-07
0.2518 9.6249E-07 1.65E-07 1.49E-07
0.3066 2.985E-07 9.38E-08 9.11E-08
0.380 1.7626E-07 8.26E-08 5.13E-08
